City,Cloudiness,Country,Humidity,Latitude,Longitude,Temperature,Wind Speed (mph)
pizarro,94.0,CO,85.0,4.95,-77.37,77.74,3.33
hilton head island,75.0,US,70.0,32.22,-80.75,83.17,13.87
borova,0.0,UA,93.0,50.18,30.1,62.71,4.47
dayal bagh,0.0,IN,49.0,27.22,78.02,91.11,8.08
yen bai,100.0,VN,81.0,21.7,104.87,82.76,0.38
kedrovyy,40.0,RU,82.0,56.17,91.82,62.6,8.88
aykhal,89.0,RU,39.0,66.0,111.5,78.8,4.47
katangli,98.0,RU,69.0,51.71,143.23,52.7,4.45
znamenskoye,88.0,RU,95.0,57.13,73.83,56.53,7.83
yerbogachen,100.0,RU,49.0,61.28,108.01,79.48,1.9
tiksi,91.0,RU,56.0,71.69,128.87,50.43,7.83
butembo,52.0,CD,92.0,0.15,29.28,56.75,2.13
coihaique,90.0,CL,88.0,-45.58,-72.07,35.6,3.36
tuy hoa,44.0,VN,61.0,13.08,109.3,84.61,15.23
havre-saint-pierre,1.0,CA,93.0,50.23,-63.6,60.8,8.05
northam,100.0,GB,96.0,51.03,-4.22,56.66,8.01
alexandria,0.0,EG,73.0,31.22,29.96,76.01,11.34
wilmington,20.0,US,94.0,34.23,-77.94,74.17,3.36
sibolga,98.0,ID,80.0,1.74,98.78,78.85,3.33
katherine,87.0,AU,32.0,-14.47,132.27,84.2,8.05
pingzhuang,100.0,CN,66.0,42.04,119.29,70.14,1.48
shenjiamen,100.0,CN,80.0,29.96,122.3,74.23,9.82
beloha,7.0,MG,87.0,-25.17,45.05,61.0,5.7
rocha,100.0,UY,93.0,-34.48,-54.33,54.54,30.69
kelvington,100.0,CA,93.0,52.17,-103.53,69.69,12.15
middlebury,75.0,US,93.0,44.02,-73.17,63.93,3.67
tambopata,41.0,PE,80.0,-12.73,-69.18,74.3,1.45
viransehir,2.0,TR,32.0,37.24,39.76,79.21,8.21
srandakan,27.0,ID,78.0,-7.94,110.25,79.74,9.48
cayenne,99.0,GF,100.0,4.93,-52.33,77.0,8.05
olesnica,0.0,PL,100.0,51.21,17.39,59.65,6.15
tyrma,0.0,RU,41.0,50.08,132.17,83.05,1.23
veinticinco de mayo,29.0,AR,91.0,-35.43,-60.17,44.01,7.0
norrtalje,55.0,SE,81.0,59.76,18.7,60.33,10.0
jinxi,100.0,CN,77.0,30.43,116.29,82.87,3.78
muros,37.0,ES,87.0,42.78,-9.06,64.0,4.0
fangshan,100.0,CN,50.0,39.7,115.99,87.33,6.22
san martin,74.0,AR,62.0,-33.08,-68.47,42.8,4.56
los algarrobos,100.0,PA,80.0,8.5,-82.43,64.99,4.0
amapa,4.0,BR,98.0,1.0,-52.0,72.54,1.59
ha tinh,100.0,VN,58.0,18.33,105.9,89.17,5.61
lasalgaon,100.0,IN,89.0,20.15,74.23,75.74,3.96
mitsamiouli,94.0,KM,74.0,-11.38,43.28,77.47,18.34
victoria,99.0,HK,74.0,22.29,114.16,87.35,5.99
leh,0.0,IN,37.0,34.17,77.58,56.46,5.7
saint-augustin,0.0,CA,70.0,51.23,-58.65,67.98,16.71
jibuti,1.0,DJ,25.0,11.5,42.5,98.6,6.24
gibraleon,0.0,ES,72.0,37.38,-6.97,71.01,1.99
lapinig,76.0,PH,63.0,12.32,125.3,86.45,5.97
anadyr,90.0,RU,93.0,64.75,177.48,45.37,4.47
raton,1.0,US,5.0,36.9,-104.44,84.2,3.36
verkhoyansk,0.0,RU,29.0,67.54,133.38,74.88,6.53
chima,0.0,IN,44.0,30.69,76.09,90.0,10.58
avera,1.0,US,58.0,33.19,-82.53,83.66,10.29
lorengau,5.0,PG,62.0,-2.02,147.27,86.23,6.46
chuguyevka,7.0,RU,51.0,44.17,133.86,73.54,6.38
otjiwarongo,0.0,NA,42.0,-20.46,16.65,48.85,11.7
fort morgan,90.0,US,43.0,40.25,-103.8,69.8,19.46
cap malheureux,26.0,MU,81.0,-19.98,57.61,66.0,5.01
lapua,100.0,FI,83.0,62.97,23.01,58.26,4.0
brainerd,90.0,US,62.0,46.36,-94.2,84.76,11.41
acari,68.0,PE,70.0,-15.43,-74.62,62.2,4.43
marshall,75.0,US,83.0,34.38,-86.33,69.8,3.62
zaysan,100.0,KZ,55.0,47.47,84.87,62.87,2.33
kasongo-lunda,98.0,CD,40.0,-6.47,16.82,71.19,2.93
ambon,75.0,ID,100.0,-3.7,128.18,76.57,5.82
takaka,100.0,NZ,57.0,-40.85,172.8,55.99,1.99
kazlu ruda,16.0,LT,72.0,54.77,23.5,60.8,5.82
rio blanco,100.0,MX,77.0,18.83,-97.15,70.39,5.14
sim,67.0,RU,87.0,54.99,57.7,43.07,0.89
san jeronimo,56.0,PE,66.0,-11.95,-75.28,48.34,4.16
dingle,88.0,PH,67.0,11.0,122.67,84.87,3.51
quatre cocos,20.0,MU,93.0,-20.21,57.76,64.35,4.7
grand-lahou,95.0,CI,83.0,5.14,-5.02,76.05,7.78
mihaileni,0.0,RO,10.0,47.97,26.15,63.34,3.15
bati,100.0,ET,44.0,11.18,40.02,72.91,1.61
magog,40.0,CA,88.0,45.27,-72.15,65.61,3.36
flinders,48.0,AU,58.0,-34.58,150.86,64.99,11.01
petropavlovsk-kamchatskiy,89.0,RU,49.0,53.05,158.65,69.8,6.71
atasu,91.0,KZ,37.0,48.68,71.64,71.8,3.38
yerkoy,0.0,TR,62.0,39.64,34.47,59.56,2.89
zinder,97.0,NE,46.0,13.81,8.99,85.39,6.69
rawah,0.0,IQ,44.0,34.48,41.91,78.51,14.25
jiexiu,4.0,CN,46.0,37.02,111.91,78.37,2.57
katsuura,75.0,JP,88.0,35.13,140.3,77.07,16.11
buchanan,75.0,LR,94.0,5.88,-10.05,77.0,7.85
vacaria,86.0,BR,86.0,-28.51,-50.93,53.01,17.09
hargeysa,100.0,SO,62.0,9.56,44.06,70.57,31.63
southbridge,86.0,US,97.0,42.08,-72.03,65.41,4.16
abu dhabi,0.0,AE,74.0,24.47,54.37,86.74,3.36
ginda,75.0,IN,94.0,30.69,78.49,75.2,3.36
rimbey,90.0,CA,93.0,52.63,-114.24,55.18,8.05
togur,100.0,RU,70.0,58.36,82.83,61.45,7.99
mount gambier,0.0,AU,71.0,-37.83,140.77,51.8,12.75
richards bay,29.0,ZA,78.0,-28.78,32.04,60.15,1.72
victor harbor,0.0,AU,56.0,-35.57,138.62,59.0,18.48
tezu,100.0,IN,74.0,27.92,96.17,79.65,0.67
hohhot,29.0,CN,56.0,40.81,111.65,73.4,4.47
iquitos,40.0,PE,94.0,-3.75,-73.25,73.4,0.85
gimli,37.0,CA,46.0,50.63,-96.99,84.49,5.01
levokumskoye,1.0,RU,62.0,44.82,44.66,70.61,3.29
grants,1.0,US,10.0,35.15,-107.85,78.8,14.99
morondava,0.0,MG,64.0,-20.28,44.28,68.38,14.05
